Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Peyton Manning\MannPe00,2,7,14,17,1998,2015,177,266,265,6125,9380,71940,539,86,251,303,1953
Tom Brady\BradTo00,6,3,14,18,2000,2020,176,292,290,6553,10256,76481,559,99,183,508,3176
Brett Favre\FavrBr00,1,3,11,19,1991,2010,156,302,298,6300,10169,71838,508,99,336,525,3487
Johnny Unitas\UnitJo00,3,5,10,14,1956,1973,114,211,185,2830,5186,40239,290,89,253,74,590
Joe Montana\MontJo01,4,3,8,12,1979,1994,123,192,164,3409,5391,40551,273,96,139,313,2095
Aaron Rodgers\RodgAa00,1,2,8,11,2005,2020,142,187,180,4050,6269,48603,381,93,86,455,3045
Drew Brees\BreeDr00,1,1,13,18,2001,2020,166,281,280,7021,10373,79034,558,98,240,415,2964
John Elway\ElwaJo00,2,0,9,16,1983,1998,138,234,231,4123,7250,51475,300,86,226,516,3785
Fran Tarkenton\TarkFr00,0,1,9,18,1961,1978,150,246,239,3686,6467,47003,342,89,266,274,2337
Dan Marino\MariDa00,0,3,9,16,1983,1999,145,242,240,4967,8358,61361,420,85,252,270,1930
Steve Young\YounSt00,3,3,7,9,1985,1999,135,169,143,2667,4149,33124,232,97,107,358,2055
Bart Starr\StarBa00,5,1,4,13,1956,1971,91,196,157,1808,3149,24718,152,91,138,59,533
Terry Bradshaw\BradTe00,4,1,3,13,1970,1983,106,168,158,2025,3901,27989,212,90,210,307,2694
Philip Rivers\RivePh00,0,0,8,14,2004,2020,145,234,230,5046,7789,60869,404,84,204,450,2732
Roger Staubach\StauRo00,2,0,6,8,1969,1979,104,131,114,1685,2958,22700,153,91,109,313,2154
Matt Ryan\RyanMa00,0,1,4,12,2008,2020,135,197,197,4671,7133,53648,333,93,151,386,2569
Ben Roethlisberger\RoetBe00,2,0,6,15,2004,2020,125,224,222,4797,7444,57991,376,97,195,511,3398
Dan Fouts\FoutDa00,0,2,6,14,1973,1987,122,181,171,3297,5604,43040,254,81,242,319,2304
Kurt Warner\WarnKu00,1,2,4,8,1998,2009,96,124,116,2666,4070,32344,208,85,128,260,1669
Ken Anderson\AndeKe00,0,1,4,13,1971,1986,121,192,172,2654,4475,32838,197,94,160,398,2875
Eli Manning\MannEl00,2,0,4,14,2004,2019,118,236,234,4895,8119,57023,366,99,244,411,2870
Ken Stabler\StabKe00,1,1,4,11,1970,1984,94,184,146,2270,3793,27938,194,88,222,281,2514
Joe Namath\NamaJo00,1,1,5,9,1965,1977,94,140,129,1886,3762,27663,173,91,220,109,1052
Sonny Jurgensen\JurgSo00,1,1,5,10,1957,1974,106,218,147,2433,4262,32224,255,99,189,94,748
Bob Griese\GrieBo00,2,2,8,12,1967,1980,105,161,151,1926,3429,25092,192,86,172,267,2318
Warren Moon\MoonWa00,0,0,9,15,1984,2000,119,208,203,3988,6823,49325,291,87,233,458,3415
Len Dawson\DawsLe00,2,2,7,12,1957,1975,109,211,159,2136,3741,28711,239,92,183,167,1423
Boomer Esiason\EsiaBo00,0,1,4,12,1984,1997,106,187,173,2969,5205,37920,247,86,184,318,2438
Russell Wilson\WilsRu00,1,0,6,8,2012,2020,108,134,134,2592,3996,31624,249,80,74,364,2387
Roman Gabriel\GabrRo00,0,1,4,11,1962,1977,99,183,157,2366,4498,29444,201,93,149,168,1268
Rich Gannon\GannRi00,0,2,4,8,1987,2004,99,157,132,2533,4206,28743,180,84,104,302,1689
Joe Theismann\TheiJo00,1,1,2,8,1974,1985,87,167,124,2044,3602,25206,160,84,138,340,2757
John Brodie\BrodJo00,0,1,2,12,1957,1973,99,201,158,2469,4491,31548,214,83,224,47,380
Cam Newton\NewtCa00,0,1,3,8,2011,2020,104,130,129,2459,4111,30010,184,91,115,301,2252
Troy Aikman\AikmTr00,3,0,6,12,1989,2000,97,165,165,2898,4715,32942,165,90,141,259,1748
Steve McNair\McNaSt00,0,0,3,10,1995,2007,100,161,153,2733,4544,31304,174,87,119,254,1567
Jack Kemp\KempJa00,2,2,7,8,1957,1969,69,122,105,1436,3073,21218,114,94,183,21,187
John Hadl\HadlJo00,1,1,6,12,1962,1977,107,224,166,2363,4687,33503,244,85,268,179,1514
Jim Kelly\KellJi00,0,1,5,11,1986,1996,103,160,160,2874,4779,35467,237,84,175,323,2427
Phil Simms\SimmPh00,2,0,2,11,1979,1993,91,164,159,2576,4647,33462,199,80,157,477,3418
Donovan McNabb\McNaDo00,0,0,6,11,1999,2011,107,167,161,3170,5374,37276,234,91,117,410,2626
Carson Palmer\PalmCa00,0,0,3,12,2004,2017,108,182,181,3941,6307,46247,294,91,187,340,2364
Jim Hart\HartJi00,0,0,4,13,1966,1984,99,201,180,2593,5076,34665,209,98,247,243,1936
Drew Bledsoe\BledDr00,1,0,4,12,1993,2006,103,194,193,3839,6717,44611,251,86,206,467,3135
Randall Cunningham\CunnRa00,0,1,4,7,1985,2001,107,161,135,2429,4289,29979,207,95,134,484,3537
Daryle Lamonica\LamoDa00,2,2,5,6,1963,1974,74,151,88,1288,2601,19154,164,93,138,72,636
Bert Jones\JoneBe00,0,1,1,6,1973,1982,81,102,96,1430,2551,18190,124,90,101,232,2020
Vinny Testaverde\TestVi00,0,0,2,15,1987,2007,97,233,214,3787,6701,46233,275,89,267,417,2992
Jim Plunkett\PlunJi00,2,0,0,10,1971,1986,86,157,144,1943,3701,25882,164,99,198,380,3279
Joe Flacco\FlacJo00,1,0,0,12,2008,2020,92,174,173,3711,6011,40464,219,95,142,364,2609
Earl Morrall\MorrEa00,3,2,2,7,1956,1976,68,255,102,1379,2689,20809,161,98,148,58,487
Frank Ryan\RyanFr00,1,0,3,5,1958,1970,77,126,87,1090,2133,16042,149,96,111,4,35
Brian Sipe\SipeBr00,0,1,1,8,1974,1983,75,125,112,1944,3439,23713,154,74,149,224,1889
Tony Romo\RomoTo00,0,0,4,8,2004,2016,96,156,127,2829,4335,34183,248,85,117,248,1672
Norm Snead\SneaNo00,0,0,4,12,1961,1976,86,178,159,2276,4353,30797,196,94,257,94,744
Dave Krieg\KrieDa00,0,0,3,12,1980,1998,97,213,175,3105,5311,38147,261,80,199,494,3794
Mark Brunell\BrunMa00,1,0,3,11,1994,2011,96,193,151,2761,4640,32072,184,79,108,390,2395
Alex Smith\SmitAl03,0,0,3,13,2005,2020,96,167,161,3091,4958,34105,193,80,101,416,2355
Michael Vick\VickMi00,0,0,4,7,2001,2015,93,143,115,1807,3217,22464,133,91,88,316,1879
Matthew Stafford\StafMa00,0,0,1,10,2009,2020,95,155,155,3686,5900,42605,266,87,138,361,2348
Jeff Garcia\GarcJe00,0,0,4,8,1999,2009,89,125,116,2264,3676,25537,161,99,83,181,947
Trent Green\GreeTr00,0,0,2,7,1997,2008,94,120,113,2266,3740,28475,162,99,114,259,1621
